"Pin","Pin Name","Input/Output","Sub-Grupo","Grupo","L die","Description","Dominio de Alimentación"
"T7","CFGBVS_0","Input","1","BANK_0",,,
"W9","DONE_0","Input/Output","1","BANK_0",,,
"R13","DXN_0","Input","1","BANK_0",,,
"R14","DXP_0","Input","1","BANK_0",,,
"M13","GNDADC_0","Power Input","1","BANK_0",,,
"R8","INIT_B_0","Input/Output","2","BANK_0",,,
"V9","PROGRAM_B_0","Input","2","BANK_0",,,
"V13","RSVDGND","Power Input","1","BANK_0",,,
"W8","RSVDVCC1","Power Input","1","BANK_0",,,
"V8","RSVDVCC2","Power Input","1","BANK_0",,,
"U8","RSVDVCC3","Power Input","1","BANK_0",,,
"W12","TCK_0","Input","1","BANK_0",,,
"V11","TDI_0","Input","1","BANK_0",,,
"W10","TDO_0","Output","1","BANK_0",,,
"W11","TMS_0","Input","1","BANK_0",,,
"M14","VCCADC_0","Power Input","1","BANK_0",,,
"V15","VCCBATT_0","Power Input","1","BANK_0",,,
"P13","VN_0","Power Input","1","BANK_0",,,
"N14","VP_0","Power Input","1","BANK_0",,,
"N13","VREFN_0","Power Input","1","BANK_0",,,
"P14","VREFP_0","Power Input","1","BANK_0",,,
"AB3","MGTXRXN0_112","Input","2","BANK_112",,,
"AA1","MGTXTXN0_112","Output","3","BANK_112",,,
"Y3","MGTXRXN1_112","Input","4","BANK_112",,,
"W1","MGTXTXN1_112","Output","5","BANK_112",,,
"V3","MGTXRXN2_112","Input","6","BANK_112",,,
"U1","MGTXTXN2_112","Output","7","BANK_112",,,
"T3","MGTXRXN3_112","Input","8","BANK_112",,,
"R1","MGTXTXN3_112","Output","9","BANK_112",,,
"AB4","MGTXRXP0_112","Input","2","BANK_112",,,
"AA2","MGTXTXP0_112","Output","3","BANK_112",,,
"Y4","MGTXRXP1_112","Input","4","BANK_112",,,
"W2","MGTXTXP1_112","Output","5","BANK_112",,,
"V4","MGTXRXP2_112","Input","6","BANK_112",,,
"U2","MGTXTXP2_112","Output","7","BANK_112",,,
"T4","MGTXRXP3_112","Input","8","BANK_112",,,
"R2","MGTXTXP3_112","Output","9","BANK_112",,,
"AB7","MGTAVTTRCAL_112","Input","1","BANK_112",,,
"R5","MGTREFCLK0N_112","Input","10","BANK_112",,,
"R6","MGTREFCLK0P_112","Input","10","BANK_112",,,
"U5","MGTREFCLK1N_112","Input","11","BANK_112",,,
"U6","MGTREFCLK1P_112","Input","11","BANK_112",,,
"AB8","MGTRREF_112","Input","1","BANK_112",,,
"Y11","IO_L1N_T0_12","Input/Output","1","BANK_12",,,
"Y12","IO_L1P_T0_12","Input/Output","1","BANK_12",,,
"AC11","IO_L2N_T0_12","Input/Output","1","BANK_12",,,
"AB12","IO_L2P_T0_12","Input/Output","1","BANK_12",,,
"AA10","IO_L3N_T0_DQS_12","Input/Output","1","BANK_12",,,
"Y10","IO_L3P_T0_DQS_12","Input/Output","1","BANK_12",,,
"AB10","IO_L4N_T0_12","Input/Output","1","BANK_12",,,
"AB11","IO_L4P_T0_12","Input/Output","1","BANK_12",,,
"Y13","IO_L5N_T0_12","Input/Output","1","BANK_12",,,
"W13","IO_L5P_T0_12","Input/Output","1","BANK_12",,,
"AA12","IO_L6N_T0_VREF_12","Input/Output","1","BANK_12",,,
"AA13","IO_L6P_T0_12","Input/Output","1","BANK_12",,,
"AD10","IO_L7N_T1_12","Input/Output","1","BANK_12",,,
"AE10","IO_L7P_T1_12","Input/Output","1","BANK_12",,,
"AF12","IO_L8N_T1_12","Input/Output","1","BANK_12",,,
"AE12","IO_L8P_T1_12","Input/Output","1","BANK_12",,,
"AF10","IO_L9N_T1_DQS_12","Input/Output","1","BANK_12",,,
"AE11","IO_L9P_T1_DQS_12","Input/Output","1","BANK_12",,,
"AF13","IO_L10N_T1_12","Input/Output","1","BANK_12",,,
"AE13","IO_L10P_T1_12","Input/Output","1","BANK_12",,,
"AD11","IO_L11N_T1_SRCC_12","Input/Output","1","BANK_12",,,
"AC12","IO_L11P_T1_SRCC_12","Input/Output","1","BANK_12",,,
"AD13","IO_L12N_T1_MRCC_12","Input/Output","2","BANK_12",,,
"AC13","IO_L12P_T1_MRCC_12","Input/Output","2","BANK_12",,,
"AD14","IO_L13N_T2_MRCC_12","Input/Output","2","BANK_12",,,
"AC14","IO_L13P_T2_MRCC_12","Input/Output","2","BANK_12",,,
"AB14","IO_L14N_T2_SRCC_12","Input/Output","2","BANK_12",,,
"AB15","IO_L14P_T2_SRCC_12","Input/Output","2","BANK_12",,,
"AD15","IO_L15N_T2_DQS_12","Input/Output","2","BANK_12",,,
"AD16","IO_L15P_T2_DQS_12","Input/Output","2","BANK_12",,,
"AF14","IO_L16N_T2_12","Input/Output","2","BANK_12",,,
"AF15","IO_L16P_T2_12","Input/Output","2","BANK_12",,,
"AE15","IO_L17N_T2_12","Input/Output","2","BANK_12",,,
"AE16","IO_L17P_T2_12","Input/Output","2","BANK_12",,,
"AF17","IO_L18N_T2_12","Input/Output","2","BANK_12",,,
"AE17","IO_L18P_T2_12","Input/Output","2","BANK_12",,,
"AA17","IO_L19N_T3_VREF_12","Input/Output","2","BANK_12",,,
"Y17","IO_L19P_T3_12","Input/Output","2","BANK_12",,,
"AB16","IO_L20N_T3_12","Input/Output","2","BANK_12",,,
"AB17","IO_L20P_T3_12","Input/Output","2","BANK_12",,,
"AC16","IO_L21N_T3_DQS_12","Input/Output","2","BANK_12",,,
"AC17","IO_L21P_T3_DQS_12","Input/Output","2","BANK_12",,,
"AA14","IO_L22N_T3_12","Input/Output","2","BANK_12",,,
"AA15","IO_L22P_T3_12","Input/Output","2","BANK_12",,,
"Y15","IO_L23N_T3_12","Input/Output","2","BANK_12",,,
"Y16","IO_L23P_T3_12","Input/Output","2","BANK_12",,,
"W15","IO_L24N_T3_12","Input/Output","2","BANK_12",,,
"W16","IO_L24P_T3_12","Input/Output","2","BANK_12",,,
"W14","IO_0_12","Input/Output","1","BANK_12",,,
"W17","IO_25_12","Input/Output","1","BANK_12",,,
"AB25","IO_L1N_T0_13","Input/Output","1","BANK_13",,,
"AA25","IO_L1P_T0_13","Input/Output","1","BANK_13",,,
"AC26","IO_L2N_T0_13","Input/Output","1","BANK_13",,,
"AB26","IO_L2P_T0_13","Input/Output","1","BANK_13",,,
"AE26","IO_L3N_T0_DQS_13","Input/Output","1","BANK_13",,,
"AE25","IO_L3P_T0_DQS_13","Input/Output","1","BANK_13",,,
"AD26","IO_L4N_T0_13","Input/Output","1","BANK_13",,,
"AD25","IO_L4P_T0_13","Input/Output","1","BANK_13",,,
"AF25","IO_L5N_T0_13","Input/Output","1","BANK_13",,,
"AF24","IO_L5P_T0_13","Input/Output","1","BANK_13",,,
"AB24","IO_L6N_T0_VREF_13","Input/Output","1","BANK_13",,,
"AA24","IO_L6P_T0_13","Input/Output","1","BANK_13",,,
"AF22","IO_L7N_T1_13","Input/Output","1","BANK_13",,,
"AE22","IO_L7P_T1_13","Input/Output","1","BANK_13",,,
"AF23","IO_L8N_T1_13","Input/Output","1","BANK_13",,,
"AE23","IO_L8P_T1_13","Input/Output","1","BANK_13",,,
"AB22","IO_L9N_T1_DQS_13","Input/Output","1","BANK_13",,,
"AB21","IO_L9P_T1_DQS_13","Input/Output","1","BANK_13",,,
"AA23","IO_L10N_T1_13","Input/Output","1","BANK_13",,,
"AA22","IO_L10P_T1_13","Input/Output","1","BANK_13",,,
"AD24","IO_L11N_T1_SRCC_13","Input/Output","1","BANK_13",,,
"AD23","IO_L11P_T1_SRCC_13","Input/Output","1","BANK_13",,,
"AC24","IO_L12N_T1_MRCC_13","Input/Output","2","BANK_13",,,
"AC23","IO_L12P_T1_MRCC_13","Input/Output","2","BANK_13",,,
"AD21","IO_L13N_T2_MRCC_13","Input/Output","2","BANK_13",,,
"AD20","IO_L13P_T2_MRCC_13","Input/Output","2","BANK_13",,,
"AC22","IO_L14N_T2_SRCC_13","Input/Output","2","BANK_13",,,
"AC21","IO_L14P_T2_SRCC_13","Input/Output","2","BANK_13",,,
"AF20","IO_L15N_T2_DQS_13","Input/Output","2","BANK_13",,,
"AF19","IO_L15P_T2_DQS_13","Input/Output","2","BANK_13",,,
"AE21","IO_L16N_T2_13","Input/Output","2","BANK_13",,,
"AE20","IO_L16P_T2_13","Input/Output","2","BANK_13",,,
"AD19","IO_L17N_T2_13","Input/Output","2","BANK_13",,,
"AD18","IO_L17P_T2_13","Input/Output","2","BANK_13",,,
"AF18","IO_L18N_T2_13","Input/Output","2","BANK_13",,,
"AE18","IO_L18P_T2_13","Input/Output","2","BANK_13",,,
"Y20","IO_L19N_T3_VREF_13","Input/Output","2","BANK_13",,,
"W20","IO_L19P_T3_13","Input/Output","2","BANK_13",,,
"AB20","IO_L20N_T3_13","Input/Output","2","BANK_13",,,
"AA20","IO_L20P_T3_13","Input/Output","2","BANK_13",,,
"AC19","IO_L21N_T3_DQS_13","Input/Output","2","BANK_13",,,
"AC18","IO_L21P_T3_DQS_13","Input/Output","2","BANK_13",,,
"AB19","IO_L22N_T3_13","Input/Output","2","BANK_13",,,
"AA19","IO_L22P_T3_13","Input/Output","2","BANK_13",,,
"W19","IO_L23N_T3_13","Input/Output","2","BANK_13",,,
"W18","IO_L23P_T3_13","Input/Output","2","BANK_13",,,
"AA18","IO_L24N_T3_13","Input/Output","2","BANK_13",,,
"Y18","IO_L24P_T3_13","Input/Output","2","BANK_13",,,
"V19","IO_0_13","Input/Output","1","BANK_13",,,
"V18","IO_25_13","Input/Output","1","BANK_13",,,
"F4","IO_L1N_T0_33","Input/Output","1","BANK_33",,,
"G4","IO_L1P_T0_33","Input/Output","1","BANK_33",,,
"D3","IO_L2N_T0_33","Input/Output","1","BANK_33",,,
"D4","IO_L2P_T0_33","Input/Output","1","BANK_33",,,
"F2","IO_L3N_T0_DQS_33","Input/Output","1","BANK_33",,,
"G2","IO_L3P_T0_DQS_33","Input/Output","1","BANK_33",,,
"C1","IO_L4N_T0_33","Input/Output","1","BANK_33",,,
"D1","IO_L4P_T0_33","Input/Output","1","BANK_33",,,
"E1","IO_L5N_T0_33","Input/Output","1","BANK_33",,,
"E2","IO_L5P_T0_33","Input/Output","1","BANK_33",,,
"E3","IO_L6N_T0_VREF_33","Input/Output","1","BANK_33",,,
"F3","IO_L6P_T0_33","Input/Output","1","BANK_33",,,
"H1","IO_L7N_T1_33","Input/Output","1","BANK_33",,,
"J1","IO_L7P_T1_33","Input/Output","1","BANK_33",,,
"H3","IO_L8N_T1_33","Input/Output","1","BANK_33",,,
"H4","IO_L8P_T1_33","Input/Output","1","BANK_33",,,
"K1","IO_L9N_T1_DQS_33","Input/Output","1","BANK_33",,,
"K2","IO_L9P_T1_DQS_33","Input/Output","1","BANK_33",,,
"G1","IO_L10N_T1_33","Input/Output","1","BANK_33",,,
"H2","IO_L10P_T1_33","Input/Output","1","BANK_33",,,
"K3","IO_L11N_T1_SRCC_33","Input/Output","1","BANK_33",,,
"L3","IO_L11P_T1_SRCC_33","Input/Output","1","BANK_33",,,
"J3","IO_L12N_T1_MRCC_33","Input/Output","2","BANK_33",,,
"J4","IO_L12P_T1_MRCC_33","Input/Output","2","BANK_33",,,
"M5","IO_L13N_T2_MRCC_33","Input/Output","2","BANK_33",,,
"M6","IO_L13P_T2_MRCC_33","Input/Output","2","BANK_33",,,
"L4","IO_L14N_T2_SRCC_33","Input/Output","2","BANK_33",,,
"L5","IO_L14P_T2_SRCC_33","Input/Output","2","BANK_33",,,
"N2","IO_L15N_T2_DQS_33","Input/Output","2","BANK_33",,,
"N3","IO_L15P_T2_DQS_33","Input/Output","2","BANK_33",,,
"L2","IO_L16N_T2_33","Input/Output","2","BANK_33",,,
"M2","IO_L16P_T2_33","Input/Output","2","BANK_33",,,
"M4","IO_L17N_T2_33","Input/Output","2","BANK_33",,,
"N4","IO_L17P_T2_33","Input/Output","2","BANK_33",,,
"M1","IO_L18N_T2_33","Input/Output","2","BANK_33",,,
"N1","IO_L18P_T2_33","Input/Output","2","BANK_33",,,
"L7","IO_L19N_T3_VREF_33","Input/Output","2","BANK_33",,,
"M7","IO_L19P_T3_33","Input/Output","2","BANK_33",,,
"J5","IO_L20N_T3_33","Input/Output","2","BANK_33",,,
"K5","IO_L20P_T3_33","Input/Output","2","BANK_33",,,
"L8","IO_L21N_T3_DQS_33","Input/Output","2","BANK_33",,,
"M8","IO_L21P_T3_DQS_33","Input/Output","2","BANK_33",,,
"J6","IO_L22N_T3_33","Input/Output","2","BANK_33",,,
"K6","IO_L22P_T3_33","Input/Output","2","BANK_33",,,
"N6","IO_L23N_T3_33","Input/Output","2","BANK_33",,,
"N7","IO_L23P_T3_33","Input/Output","2","BANK_33",,,
"K7","IO_L24N_T3_33","Input/Output","2","BANK_33",,,
"K8","IO_L24P_T3_33","Input/Output","2","BANK_33",,,
"L9","IO_0_VRN_33","Input/Output","1","BANK_33",,,
"N8","IO_25_VRP_33","Input/Output","1","BANK_33",,,
"H11","IO_L1N_T0_34","Input/Output","1","BANK_34",,,
